Task ID,Occupation (O*NET-SOC Title),Task,O*NET-SOC Code,desire_mean,desire_n,capability_mean,capability_n,zone
21319,Financial Managers,Oversee the flow of cash or financial instruments.,11-3031.00,2.8,5,3.0,2,Low-Priority
21315,Financial Managers,Evaluate data pertaining to costs to plan budgets.,11-3031.00,2.6666666666666665,6,4.0,2,Red
21321,Financial Managers,Develop or analyze information to assess the current or future financial status of firms.,11-3031.00,2.5714285714285716,7,4.0,2,Red
21318,Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",11-3031.00,3.0,3,3.0,2,Yellow
21320,Financial Managers,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",11-3031.00,2.5714285714285716,7,4.0,2,Red
21317,Financial Managers,"Examine, evaluate, or process loan applications.",11-3031.00,2.8,5,4.0,2,Red
21314,Financial Managers,Prepare operational or risk reports for management analysis.,11-3031.00,3.0,8,4.0,2,Green
21326,Financial Managers,Review collection reports to determine the status of collections and the amounts of outstanding balances.,11-3031.00,3.25,4,5.0,2,Green
21329,Financial Managers,Review reports of securities transactions or price lists to analyze market conditions.,11-3031.00,3.0,6,4.5,2,Green
8870,Treasurers and Controllers,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,11-3031.01,2.0,5,3.0,2,Low-Priority
20168,Treasurers and Controllers,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",11-3031.01,3.0,9,4.0,3,Green
8861,Treasurers and Controllers,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",11-3031.01,2.6,5,3.5,4,Red
8865,Treasurers and Controllers,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",11-3031.01,2.0,7,3.0,3,Low-Priority
8867,Treasurers and Controllers,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",11-3031.01,2.5,8,4.0,3,Red
8873,Treasurers and Controllers,"Compute, withhold, and account for all payroll deductions.",11-3031.01,3.0,4,4.666666666666667,3,Green
15415,Quality Control Systems Managers,Review and update standard operating procedures or quality assurance manuals.,11-3051.01,3.4285714285714284,7,4.0,3,Green
15430,Quality Control Systems Managers,Monitor performance of quality control systems to ensure effectiveness and efficiency.,11-3051.01,3.125,8,4.333333333333333,3,Green
15414,Quality Control Systems Managers,Review quality documentation necessary for regulatory submissions and inspections.,11-3051.01,3.25,4,4.333333333333333,3,Green
15428,Quality Control Systems Managers,Analyze quality control test results and provide feedback and interpretation to production management or staff.,11-3051.01,2.5,6,5.0,2,Red
15424,Quality Control Systems Managers,"Direct the tracking of defects, test results, or other regularly reported quality control data.",11-3051.01,4.5,4,5.0,2,Green
15416,Quality Control Systems Managers,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",11-3051.01,2.8,5,3.0,3,Low-Priority
15427,Quality Control Systems Managers,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",11-3051.01,2.8,5,3.0,3,Low-Priority
15425,Quality Control Systems Managers,Create and implement inspection and testing criteria or procedures.,11-3051.01,3.0,4,2.3333333333333335,3,Yellow
15423,Quality Control Systems Managers,"Document testing procedures, methodologies, or criteria.",11-3051.01,2.8333333333333335,6,5.0,2,Red
15456,Biofuels Production Managers,"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",11-3051.03,2.6,5,4.0,2,Red
15458,Biofuels Production Managers,"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",11-3051.03,4.0,5,2.5,2,Yellow
15461,Biofuels Production Managers,"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",11-3051.03,3.6666666666666665,3,4.5,2,Green
15460,Biofuels Production Managers,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",11-3051.03,4.0,4,4.0,2,Green
15457,Biofuels Production Managers,Prepare and manage biofuels plant or unit budgets.,11-3051.03,3.75,4,3.6666666666666665,3,Green
15459,Biofuels Production Managers,"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",11-3051.03,3.6666666666666665,3,4.0,2,Green
1021,Purchasing Managers,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",11-3061.00,2.0,10,2.6666666666666665,3,Low-Priority
1033,Purchasing Managers,Prepare bid awards requiring board approval.,11-3061.00,3.2857142857142856,7,4.0,2,Green
1025,Purchasing Managers,Review purchase order claims and contracts for conformance to company policy.,11-3061.00,3.7,10,4.333333333333333,3,Green
1031,Purchasing Managers,"Review, evaluate, and approve specifications for issuing and awarding bids.",11-3061.00,3.6,5,4.0,2,Green
1035,Purchasing Managers,Administer online purchasing systems.,11-3061.00,2.5,8,5.0,2,Red
1022,Purchasing Managers,Prepare and process requisitions and purchase orders for supplies and equipment.,11-3061.00,2.3,10,2.6666666666666665,3,Low-Priority
1026,Purchasing Managers,Analyze market and delivery systems to assess present and future material availability.,11-3061.00,2.9,10,4.0,3,Red
1020,Purchasing Managers,Maintain records of goods ordered and received.,11-3061.00,2.8,10,4.5,2,Red
20942,Supply Chain Managers,"Determine appropriate equipment and staffing levels to load, unload, move, or store materials.",11-3071.04,3.6666666666666665,6,3.0,2,Yellow
20943,Supply Chain Managers,"Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.",11-3071.04,3.1666666666666665,6,3.6666666666666665,3,Green
15680,Supply Chain Managers,Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.,11-3071.04,4.0,4,4.333333333333333,3,Green
15700,Supply Chain Managers,"Develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance.",11-3071.04,2.3333333333333335,6,3.0,3,Low-Priority
15696,Supply Chain Managers,"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",11-3071.04,3.8333333333333335,6,4.0,3,Green
15697,Supply Chain Managers,Analyze information about supplier performance or procurement program success.,11-3071.04,2.75,4,4.0,3,Red
20945,Supply Chain Managers,Monitor suppliers' activities to assess performance in meeting quality or delivery requirements.,11-3071.04,2.6666666666666665,3,4.0,2,Red
20946,Supply Chain Managers,Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.,11-3071.04,3.8,5,3.5,2,Green
15691,Supply Chain Managers,"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",11-3071.04,3.5,4,4.0,2,Green
985,Human Resources Managers,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits.",11-3121.00,3.1,10,5.0,2,Green
982,Human Resources Managers,"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",11-3121.00,4.0,10,2.5,2,Yellow
994,Human Resources Managers,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,11-3121.00,2.4,10,2.6666666666666665,3,Low-Priority
993,Human Resources Managers,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",11-3121.00,3.1,10,5.0,3,Green
1002,Human Resources Managers,"Develop, administer, and evaluate applicant tests.",11-3121.00,3.1,10,3.5,2,Green
49,Medical and Health Services Managers,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",11-9111.00,3.4,10,5.0,2,Green
51,Medical and Health Services Managers,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",11-9111.00,3.3,10,3.6666666666666665,3,Green
55,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",11-9111.00,2.3,10,4.0,2,Red
52,Medical and Health Services Managers,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",11-9111.00,3.6,10,3.5,2,Green
61,Medical and Health Services Managers,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,11-9111.00,2.9,10,2.3333333333333335,3,Low-Priority
57,Medical and Health Services Managers,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",11-9111.00,2.8,10,3.0,3,Low-Priority
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",11-9121.01,3.1,10,1.5,2,Yellow
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",11-9121.01,2.7,10,3.0,2,Low-Priority
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,11-9121.01,2.4,10,2.6666666666666665,3,Low-Priority
15614,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",11-9121.01,3.3,10,4.5,2,Green
15593,Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",11-9121.01,2.4,10,2.3333333333333335,3,Low-Priority
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",11-9121.01,2.8,10,3.5,2,Red
15592,Clinical Research Coordinators,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,11-9121.01,2.9,10,3.0,3,Low-Priority
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",11-9121.01,2.8,10,4.0,2,Red
15600,Clinical Research Coordinators,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,11-9121.01,2.9,10,3.0,2,Low-Priority
15598,Clinical Research Coordinators,Order drugs or devices necessary for study completion.,11-9121.01,3.3,10,4.5,2,Green
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,11-9121.01,3.4,10,2.0,3,Yellow
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",11-9121.01,2.1,10,2.25,4,Low-Priority
15590,Clinical Research Coordinators,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,11-9121.01,3.2222222222222223,9,2.3333333333333335,3,Yellow
15584,Clinical Research Coordinators,Register protocol patients with appropriate statistical centers as required.,11-9121.01,4.0,4,4.0,2,Green
18037,Regulatory Affairs Managers,"Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",11-9199.01,3.142857142857143,7,2.6666666666666665,3,Yellow
18022,Regulatory Affairs Managers,"Direct the preparation and submission of regulatory agency applications, reports, or correspondence.",11-9199.01,3.0,7,2.6666666666666665,3,Yellow
18030,Regulatory Affairs Managers,"Maintain current knowledge of relevant regulations, including proposed and final rules.",11-9199.01,3.7142857142857144,7,1.5,2,Yellow
18038,Regulatory Affairs Managers,Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,11-9199.01,3.3333333333333335,3,3.3333333333333335,3,Yellow
18032,Regulatory Affairs Managers,Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.,11-9199.01,4.0,4,2.6666666666666665,3,Yellow
1146,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Monitor and follow applicable laws and regulations.,13-1023.00,2.6666666666666665,9,3.6666666666666665,3,Red
1143,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services.",13-1023.00,3.0,10,3.0,3,Yellow
1145,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Analyze price proposals, financial reports, and other data and information to determine reasonable prices.",13-1023.00,3.125,8,4.0,2,Green
1151,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories.",13-1023.00,2.8,10,3.25,4,Low-Priority
1144,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Research and evaluate suppliers, based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history.",13-1023.00,2.5714285714285716,7,2.6666666666666665,3,Low-Priority
1148,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods.",13-1023.00,2.7,10,4.0,2,Red
1153,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.,13-1023.00,3.0,8,4.0,3,Green
1157,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.",13-1023.00,2.7142857142857144,7,2.6666666666666665,3,Low-Priority
1152,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services.",13-1023.00,3.142857142857143,7,3.5,2,Green
21447,Compliance Officers,"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",13-1041.00,3.5,8,4.0,2,Green
21449,Compliance Officers,"Prepare reports of activities, evaluations, recommendations, or decisions.",13-1041.00,3.5,8,3.6666666666666665,3,Green
21457,Compliance Officers,Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.,13-1041.00,4.25,4,4.5,2,Green
80,Cost Estimators,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",13-1051.00,2.2857142857142856,7,3.5,2,Red
20846,Cost Estimators,Collect historical cost data to estimate costs for current or future products.,13-1051.00,1.8571428571428572,7,4.0,2,Red
84,Cost Estimators,"Prepare estimates used by management for purposes such as planning, organizing, and scheduling work.",13-1051.00,2.2857142857142856,7,3.3333333333333335,3,Low-Priority
87,Cost Estimators,Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.,13-1051.00,2.857142857142857,7,4.0,2,Red
18859,Human Resources Specialists,Hire employees and process hiring-related paperwork.,13-1071.00,2.9,10,2.75,4,Low-Priority
18866,Human Resources Specialists,"Prepare or maintain employment records related to events, such as hiring, termination, leaves, transfers, or promotions, using human resources management system software.",13-1071.00,2.8,10,4.0,2,Red
18868,Human Resources Specialists,Review employment applications and job orders to match applicants with job requirements.,13-1071.00,3.0,10,3.5,2,Green
18860,Human Resources Specialists,"Inform job applicants of details such as duties and responsibilities, compensation, benefits, schedules, working conditions, or promotion opportunities.",13-1071.00,2.0,11,3.0,2,Low-Priority
18857,Human Resources Specialists,Contact job applicants to inform them of the status of their applications.,13-1071.00,2.5,10,5.0,2,Red
18865,Human Resources Specialists,"Perform searches for qualified job candidates, using sources such as computer databases, networking, Internet recruiting resources, media advertisements, job fairs, recruiting firms, or employee referrals.",13-1071.00,2.9,10,3.0,3,Low-Priority
18853,Human Resources Specialists,Analyze employment-related data and prepare required reports.,13-1071.00,3.1,10,4.0,3,Green
21097,Human Resources Specialists,Administer employee benefit plans.,13-1071.00,2.142857142857143,7,2.0,2,Low-Priority
18869,Human Resources Specialists,"Schedule or administer skill, intelligence, psychological, or drug tests for current or prospective employees.",13-1071.00,2.4444444444444446,9,2.0,2,Low-Priority
18855,Human Resources Specialists,Conduct reference or background checks on job applicants.,13-1071.00,2.4,10,3.0,3,Low-Priority
18876,Human Resources Specialists,"Review and evaluate applicant qualifications or eligibility for specified licensing, according to established guidelines and designated licensing codes.",13-1071.00,3.0,3,4.0,2,Green
15898,Logistics Analysts,Maintain databases of logistics information.,13-1081.02,2.875,8,4.5,2,Red
20009,Logistics Analysts,"Remotely monitor the flow of vehicles or inventory, using Web-based logistics information systems to track vehicles or containers.",13-1081.02,3.0,6,3.0,2,Yellow
15889,Logistics Analysts,"Communicate with or monitor service providers, such as ocean carriers, air freight forwarders, global consolidators, customs brokers, or trucking companies.",13-1081.02,2.3333333333333335,6,2.0,2,Low-Priority
15890,Logistics Analysts,Track product flow from origin to final delivery.,13-1081.02,3.0,6,2.0,2,Yellow
15903,Logistics Analysts,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",13-1081.02,2.6,5,2.6666666666666665,3,Low-Priority
15893,Logistics Analysts,Recommend improvements to existing or planned logistics processes.,13-1081.02,2.25,4,3.5,2,Red
15904,Logistics Analysts,"Apply analytic methods or tools to understand, predict, or control logistics operations or processes.",13-1081.02,4.333333333333333,3,3.0,3,Yellow
15895,Logistics Analysts,Prepare reports on logistics performance measures.,13-1081.02,3.6666666666666665,3,3.6666666666666665,3,Green
15883,Logistics Analysts,Enter logistics-related data into databases.,13-1081.02,2.8,5,4.5,2,Red
15894,Logistics Analysts,"Provide ongoing analyses in areas such as transportation costs, parts procurement, back orders, or delivery processes.",13-1081.02,2.4,5,3.5,2,Red
15897,Logistics Analysts,"Monitor inventory transactions at warehouse facilities to assess receiving, storage, shipping, or inventory integrity.",13-1081.02,3.0,3,1.5,2,Yellow
15899,Logistics Analysts,Maintain logistics records in accordance with corporate policies.,13-1081.02,2.8,5,4.0,3,Red
15902,Logistics Analysts,"Compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns.",13-1081.02,2.25,4,4.0,2,Red
15887,Logistics Analysts,Contact potential vendors to determine material availability.,13-1081.02,1.5,4,4.0,2,Red
15884,Logistics Analysts,Develop or maintain payment systems to ensure accuracy of vendor payments.,13-1081.02,2.4,5,4.0,2,Red
15885,Logistics Analysts,Determine packaging requirements.,13-1081.02,2.3333333333333335,3,4.0,2,Red
7276,Management Analysts,Gather and organize information on problems or procedures.,13-1111.00,3.25,4,4.333333333333333,3,Green
7277,Management Analysts,Analyze data gathered and develop solutions or alternative methods of proceeding.,13-1111.00,2.8333333333333335,6,4.0,2,Red
7282,Management Analysts,"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",13-1111.00,2.8,5,4.0,2,Red
7285,Management Analysts,"Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.",13-1111.00,2.2,5,3.3333333333333335,3,Low-Priority
18931,Fundraisers,Write and send letters of thanks to donors.,13-1131.00,3.5,8,4.5,2,Green
18907,Fundraisers,Create or update donor databases.,13-1131.00,3.6666666666666665,6,4.333333333333333,3,Green
18912,Fundraisers,Develop strategies to encourage new or increased contributions.,13-1131.00,2.0,4,2.0,3,Low-Priority
18911,Fundraisers,"Develop or implement fundraising activities, such as annual giving campaigns or direct mail programs.",13-1131.00,3.1666666666666665,6,2.3333333333333335,3,Yellow
18926,Fundraisers,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",13-1131.00,3.2,5,3.0,3,Yellow
18919,Fundraisers,Monitor progress of fundraising drives.,13-1131.00,4.0,7,4.0,3,Green
18932,Fundraisers,Write reports or prepare presentations to communicate fundraising program data.,13-1131.00,3.5,4,3.0,2,Yellow
18908,Fundraisers,"Design or produce materials such as posters, Web sites, or newsletters to promote, market, or advertise fundraising events.",13-1131.00,3.2857142857142856,7,4.0,3,Green
18924,Fundraisers,"Write speeches, press releases, or other promotional materials to increase awareness of the causes, missions, or goals of organizations seeking funds.",13-1131.00,2.7142857142857144,7,3.3333333333333335,3,Low-Priority
18918,Fundraisers,"Monitor budgets, expense reports, or other financial data for fundraising organizations.",13-1131.00,3.5714285714285716,7,4.0,2,Green
20475,Training and Development Specialists,"Obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials.",13-1151.00,3.5,10,3.6666666666666665,3,Green
19559,Training and Development Specialists,"Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts.",13-1151.00,2.6666666666666665,6,3.0,3,Low-Priority
98,Training and Development Specialists,"Monitor, evaluate, or record training activities or program effectiveness.",13-1151.00,3.6,10,2.6666666666666665,3,Yellow
20474,Training and Development Specialists,"Design, plan, organize, or direct orientation and training programs for employees or customers.",13-1151.00,3.375,8,3.0,3,Yellow
102,Training and Development Specialists,Develop alternative training methods if expected improvements are not seen.,13-1151.00,2.6666666666666665,6,3.0,3,Low-Priority
101,Training and Development Specialists,"Evaluate training materials prepared by instructors, such as outlines, text, or handouts.",13-1151.00,3.8,5,3.5,2,Green
20476,Training and Development Specialists,Monitor training costs and prepare budget reports to justify expenditures.,13-1151.00,3.3333333333333335,6,3.0,3,Yellow
106,Training and Development Specialists,Devise programs to develop executive potential among employees in lower-level positions.,13-1151.00,2.8,5,2.0,2,Low-Priority
93,Training and Development Specialists,"Keep up with developments in area of expertise by reading current journals, books, or magazine articles.",13-1151.00,3.6,10,4.0,3,Green
95,Training and Development Specialists,"Schedule classes based on availability of classrooms, equipment, or instructors.",13-1151.00,4.0,6,4.0,2,Green
20328,Search Marketing Strategists,Manage tracking and reporting of search-related activities and provide analyses to marketing executives.,13-1161.01,3.1,10,3.6666666666666665,3,Green
20329,Search Marketing Strategists,"Optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (SEO) or for display and usability on internet-connected devices.",13-1161.01,3.5,10,4.0,4,Green
16192,Search Marketing Strategists,"Collect and analyze Web metrics, such as visits, time on site, page views per visit, transaction volume and revenue, traffic mix, click-through rates, conversion rates, cost per acquisition, or cost per click.",13-1161.01,3.6666666666666665,9,5.0,3,Green
16182,Search Marketing Strategists,Participate in the development or implementation of online marketing strategy.,13-1161.01,3.0,10,4.0,2,Green
16190,Search Marketing Strategists,Optimize Web site exposure by analyzing search engine patterns to direct online placement of keywords or other content.,13-1161.01,3.4285714285714284,7,4.333333333333333,3,Green
20318,Search Marketing Strategists,Assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,13-1161.01,3.5,6,4.5,4,Green
20326,Search Marketing Strategists,Identify appropriate Key Performance Indicators (KPIs) and report key metrics from digital campaigns.,13-1161.01,3.2,10,4.333333333333333,3,Green
20321,Search Marketing Strategists,Create content strategies for digital media.,13-1161.01,3.2,10,4.0,3,Green
20319,Search Marketing Strategists,Combine secondary data sources with keyword research to more accurately profile and satisfy user intent.,13-1161.01,3.2857142857142856,7,4.333333333333333,3,Green
20330,Search Marketing Strategists,Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).,13-1161.01,4.0,6,4.0,2,Green
20327,Search Marketing Strategists,"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods.",13-1161.01,4.142857142857143,7,4.333333333333333,3,Green
16191,Search Marketing Strategists,"Conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media Web sites.",13-1161.01,3.2,5,2.6666666666666665,3,Yellow
16186,Search Marketing Strategists,"Conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance.",13-1161.01,3.6,5,4.333333333333333,3,Green
16179,Search Marketing Strategists,Propose online or multiple-sales-channel campaigns to marketing executives.,13-1161.01,3.2,5,3.0,2,Yellow
15980,Sustainability Specialists,"Monitor or track sustainability indicators, such as energy usage, natural resource usage, waste generation, and recycling.",13-1199.05,3.0,8,4.333333333333333,3,Green
15979,Sustainability Specialists,"Assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance.",13-1199.05,2.75,8,3.5,2,Red
15973,Sustainability Specialists,Provide technical or administrative support for sustainability programs or issues.,13-1199.05,3.0,7,3.0,3,Yellow
15968,Sustainability Specialists,Review and revise sustainability proposals or policies.,13-1199.05,3.1666666666666665,6,3.0,3,Yellow
15976,Sustainability Specialists,Develop reports or presentations to communicate the effectiveness of sustainability initiatives.,13-1199.05,2.4,5,3.5,4,Red
15975,Sustainability Specialists,Create or maintain plans or other documents related to sustainability projects.,13-1199.05,3.1666666666666665,6,4.5,2,Green
15978,Sustainability Specialists,Collect information about waste stream management or green building practices to inform decision makers.,13-1199.05,2.6,5,2.5,2,Low-Priority
15969,Sustainability Specialists,"Research or review regulatory, technical, or market issues related to sustainability.",13-1199.05,2.8333333333333335,6,4.0,2,Red
15731,Online Merchants,"Receive and process payments from customers, using electronic transaction services.",13-1199.06,2.4,10,5.0,3,Red
15710,Online Merchants,"Create, manage, or automate orders or invoices, using order management or invoicing software.",13-1199.06,3.1,10,5.0,3,Green
15709,Online Merchants,Deliver e-mail confirmation of completed transactions and shipment.,13-1199.06,4.1,10,5.0,3,Green
15728,Online Merchants,"Correspond with online customers via electronic mail, telephone, or other electronic messaging to address questions or complaints about products, policies, or shipping methods.",13-1199.06,3.2,10,3.6666666666666665,3,Green
15707,Online Merchants,Determine and set product prices.,13-1199.06,2.3,10,4.0,3,Red
15730,Online Merchants,"Calculate purchase subtotals, taxes, and shipping costs for submission to customers.",13-1199.06,2.7,10,5.0,3,Red
15734,Online Merchants,"Compose descriptions of merchandise for posting to online storefront, auction sites, or other shopping Web sites.",13-1199.06,3.6,10,4.666666666666667,3,Green
15703,Online Merchants,"Upload digital media, such as photos, video, or scanned images to online storefront, auction sites, or other shopping Web sites.",13-1199.06,2.6,10,4.0,2,Red
15735,Online Merchants,"Calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",13-1199.06,4.4,10,5.0,3,Green
15714,Online Merchants,Cancel orders based on customer requests or inventory or delivery problems.,13-1199.06,3.5,10,5.0,2,Green
15732,Online Merchants,"Prepare or organize online storefront marketing material, including product descriptions or subject lines, optimizing content to search engine criteria.",13-1199.06,3.142857142857143,7,3.0,2,Yellow
15704,Online Merchants,Order or purchase merchandise to maintain optimal inventory levels.,13-1199.06,2.2,5,3.0,2,Low-Priority
15711,Online Merchants,Create or maintain database of customer accounts.,13-1199.06,4.5,4,4.333333333333333,3,Green
15717,Online Merchants,"Promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising.",13-1199.06,3.0,4,4.5,2,Green
15721,Online Merchants,"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",13-1199.06,4.0,3,2.3333333333333335,3,Yellow
